episode,reward,discounted_reward,steps,distance_traveled
407,-306.1220234907413,-166.55496932416597,96,128.25783
408,-306.1267130298654,-158.22645882020083,108,48.938797
409,-318.4350703455872,-141.05713389681137,195,236.75003
410,-304.5882875056926,-141.79090768421077,196,234.77844
411,-315.5976831840312,-141.67731241307465,184,246.32443
412,-310.9547937386379,-176.71771411959602,78,44.626984
413,-305.7596126575986,-154.08977798873156,98,116.22632
414,-301.2079856991683,-141.3021599125927,103,77.027695
415,-308.51858656534773,-148.40293357710522,104,126.125305
416,-315.9269216438358,-147.2265424271863,105,87.007065
417,-302.21221571075233,-135.38141279044657,105,81.89986
418,-318.6532830411212,-142.25369932886798,106,71.27466
419,-313.7463139303672,-148.48131606508173,96,150.18492
420,-309.9454665074907,-142.99327606619673,102,102.850494
421,-306.692150437225,-136.56192021882683,103,113.43869
422,-321.0084895361914,-87.28800492319108,220,253.27142
423,-309.1068567036222,-120.88023771533591,219,199.71094
424,-301.15208315248924,-139.76729789108134,132,96.58984
425,-301.3272250499286,-113.72064132709293,229,191.75488
426,-319.0651889310291,-101.92017415924941,364,147.79286
427,-301.4932130436706,-83.04098326673324,499,180.34335
428,-237.530798731905,-69.84963961717582,500,192.45078
429,-259.4098276474266,-85.56535666476107,500,212.42148
430,-301.28955670976154,-97.79332711355225,370,285.90918
431,-302.4124015700428,-97.67749366499756,459,546.5721
432,-300.4554262630279,-92.5423695165896,359,359.269
433,-260.62095613713063,-86.14288406740488,500,399.18945
434,-315.68262131325656,-113.10558126075394,333,514.52185
435,-248.36920028507544,-87.32192831983932,500,628.3102
436,-297.2340849180994,-76.94585454598906,500,293.38727
437,-259.3610518401762,-87.1442203540005,500,1061.1698
438,-300.129812059398,-100.46758033027598,288,335.70563
439,-300.51548939541635,-127.5308546169549,271,407.17123
440,-310.06537482981696,-109.34224956265348,218,197.78952
441,-303.00597758694477,-126.8489183729099,208,332.03497
442,-302.93075976092814,-114.29581405846847,209,263.04932
443,-308.1542722883871,-104.49920724052426,213,204.33136
444,-300.10667532145527,-101.24551739084627,217,217.27423
445,-302.99477671464734,-109.4438956633247,201,287.99207
446,-300.8613868740513,-115.0183683787198,207,272.5092
447,-307.9562367124517,-97.18031964442916,212,295.14685
448,-311.0693341060572,-104.06171044707119,209,286.27963
449,-303.2594914398084,-112.26693105165367,208,294.14014
450,-305.9917384837643,-93.15625281659221,211,311.13263
451,-300.1841189027218,-93.40376484441224,220,182.7062
452,-301.7455061096221,-92.92344498164508,215,250.97235
453,-301.88660519315977,-135.97556076051038,158,606.6992
454,-304.8548731665045,-89.38219669253901,218,241.05383
455,-311.8418762053559,-96.60395231537981,211,290.042
456,-300.7267725367923,-85.48833138372322,277,224.91785
457,-303.95858009868675,-110.47368617753477,194,489.96002
458,-303.3912276522495,-110.70945486077262,193,482.14215
459,-305.0914096811608,-111.76610084200011,191,474.75305
460,-305.7156805574537,-115.92980523133427,188,493.97504
461,-300.0224618233651,-87.97406414042999,210,334.12463
462,-303.2947017488057,-102.4058266978651,193,458.64642
463,-303.27737653966483,-96.82642370218228,201,434.3009
464,-301.9581724358398,-101.8521000662228,209,378.81653
465,-305.07161383913024,-104.72441791606934,194,464.79633
466,-303.8820080553944,-96.52453928100796,205,322.73
467,-305.9096939445038,-94.35359557166466,208,390.18564
468,-303.3926328003062,-110.74849035510609,210,404.32867
469,-304.26960465123705,-99.51001924320616,210,342.53027
470,-301.8790992827931,-104.32546896718664,206,318.28043
471,-312.6002171929472,-105.3797759967523,215,236.7214
472,-302.4949051424388,-79.59151583558875,225,164.64764
473,-315.35563986954065,-85.43003450261439,220,204.8494
474,-311.5677645748829,-99.90588697606573,212,244.24179
475,-302.08972222763794,-87.1214042982177,225,154.0742
476,-303.3087301737472,-100.87350990969271,233,171.33835
477,-306.351534369769,-96.88395759126225,225,154.34923
478,-300.8371110944958,-86.09449811485051,226,122.27765
479,-309.31354629166697,-87.08053223530031,233,108.24579
480,-302.4894258251379,-86.52966286035945,227,119.46808
481,-306.6362643105478,-78.31855810641065,237,139.16222
482,-307.03612196803795,-74.1891304512999,235,168.10223
483,-305.92404617566484,-66.68565916687757,343,183.24692
484,-300.7375433885908,-67.30133996875432,341,198.84143
485,-303.4932270441227,-58.2718865148517,339,269.79132
486,-305.28939005313464,-54.912783053608706,339,354.2671
487,-305.51897224557933,-55.12630485331522,343,370.1594
488,-308.7327977650075,-56.79689152900964,346,344.86404
489,-301.64295772903097,-57.86285686543572,331,327.49878
490,-300.22965475739227,-55.2419026833951,337,437.4348
491,-305.8176142926262,-56.024929640010804,331,369.9286
492,-302.7488409371498,-54.425842923225055,330,485.77643
493,-306.50917494149735,-49.394212310362235,438,633.8772
494,-304.22666564595454,-57.26035365802961,319,432.18536
495,-300.0580194095301,-60.550112183995346,373,516.90186
496,-301.0897443579046,-54.44344527667376,323,493.25977
497,-162.88479123435624,-46.0431294372141,500,770.79736
498,-301.70462745439954,-69.79490376467969,239,335.007
499,-303.05928044402367,-66.10876890208239,327,408.01807
500,-302.22637529985775,-69.58955093911862,341,399.5884
501,-302.99280176966766,-73.31939309081658,239,308.39453
502,-303.3897319178617,-52.27042733043059,338,399.20724
503,-300.85718866663467,-56.944888517455894,338,365.69507
504,-300.8464114376836,-54.584175596063915,475,437.95428
505,-301.4781530401617,-59.19038233141355,337,336.23508
506,-304.05515631732857,-69.31439779826135,332,313.1394
507,-312.24691976403153,-61.385257245693566,335,340.75098
508,-300.24513511415154,-71.3743352613009,335,334.0567
509,-311.81955399205697,-65.17768273299063,340,294.6782
510,-304.13947600062664,-62.90730375694735,456,489.05878
511,-304.5554568724686,-60.89321106701452,342,343.18372
512,-305.25999218621985,-58.71059363534944,340,340.61215
513,-300.0702883407056,-56.32465179103036,410,348.42685
514,-224.87821472108598,-47.10558721118518,500,771.4817
515,-305.105354254245,-50.869686513290624,343,402.87234
516,-300.3290474680704,-38.693869660577754,476,613.34906
517,-300.94732006164656,-50.36065318000466,349,351.0154
518,-301.36080199337016,-36.885491953975446,478,593.56024
519,-300.19240948301785,-44.73442688894486,351,379.0853
520,-302.32936755485025,-45.20321272148355,366,429.31616
521,-186.22044084591104,-37.665493905337435,500,717.2451
522,-175.98685501097918,-36.7150190126008,500,744.7653
523,-305.9108169796347,-41.16904963093029,459,583.5566
524,-297.2962604643057,-49.07651780555915,500,608.9873
525,-245.28232753277828,-44.90992907487048,500,734.2656
526,-305.6390666846978,-44.109547275203006,463,577.06494
527,-276.6274958417016,-43.51860765702321,500,345.9298
528,-204.863743751223,-39.438587513821595,500,541.21967
529,-191.86258787653668,-38.797214886451826,500,736.85156
530,-298.1066998296531,-47.07633488269488,500,171.91415
531,-305.03492853001916,-46.2269806143586,494,190.06613
532,-304.67785223862575,-48.81960363188205,490,214.52322
533,-277.25392788494474,-52.57337579570365,500,356.07373
534,-302.2582739675076,-55.913244851642425,499,187.66891
535,-184.9065255749228,-44.6606607254096,500,174.93231
536,-239.13026018564813,-40.850040008967134,500,217.73547
537,-264.0880889541672,-46.68005729081737,500,198.07956
538,-221.597250421393,-41.63187981793229,500,106.761795
539,-195.36646565654746,-30.285793814281345,500,386.63885
